item_name,item_url
"MamyPoko Pants Extra Absorb Diaper - Small Size, Pack of  148 Diapers (S-148)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J95VH6M/ref=sr_1_30?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-30
"MamyPoko Pants Extra Absorb Baby Diapers Monthly Pack, Large (9 - 14 kg) 96 Count",https://www.amazon.in/MamyPoko-Pants-Absorb-Diapers-Monthly/dp/B07KFHSF5C/ref=sr_1_31?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-31
"MamyPoko Pants Extra Absorb baby Diapers, XX-Large (44 Count)",https://www.amazon.in/MamyPoko-Pants-Absorb-Diapers-XX-Large/dp/B07T9L9XWN/ref=sr_1_32?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-32
"MamyPoko Pants Standard Baby Diapers, Small (4 - 8 kg) 46 Count",https://www.amazon.in/MamyPoko-Pants-Standard-Style-Diapers/dp/B00KAUFEEM/ref=sr_1_33?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-33
"MamyPoko Pants Extra Absorb Baby Diapers Monthly Pack, Medium (7 -12 kg) 114 Count",https://www.amazon.in/MamyPoko-Absorb-Diapers-Monthly-Medium/dp/B07TFWD22T/ref=sr_1_34?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-34
"MamyPoko Pants Standard Baby Diapers, Extra Large (12 - 17 kg), Pack of 26",https://www.amazon.in/Pants-Standard-Style-Extra-Diapers/dp/B00KKL2R8M/ref=sr_1_35?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-35
MamyPoko Pants Extra Absorb Baby Diaper - Extra Large Size (12 - 17 kg) 78 Count,https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07TFV5WBH/ref=sr_1_36?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-36
"MamyPoko Pants Extra Absorb Baby Diaper, Medium (7 - 12 kg), 52 Count",https://www.amazon.in/MamyPoko-Pants-Absorb-Diaper-Medium/dp/B07TGVWDX1/ref=sr_1_37?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-37
"Mamypoko Standard Baby Diaper Pants, Medium (7 - 12 kg) 36 Count",https://www.amazon.in/MamyPoko-Pants-Standard-Medium-Diapers/dp/B00KAUFKBE/ref=sr_1_38?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-38
"MamyPoko Pants Extra Absorb Diaper - Small Size, Pack of  52+4 Diapers (S-52+4)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J96P65M/ref=sr_1_39?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-39
"MamyPoko Standard Baby Diaper Pants, Large (9 - 14 kg) 34 Count",https://www.amazon.in/MamyPoko-Pants-Standard-Style-Diapers/dp/B00KAUFMQC/ref=sr_1_40?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-40
"MamyPoko Diaper Pants Extra Absorb, X-Large, 36 Pieces, 12-17Kg (Pack of 1) for Kids",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07TBLZ279/ref=sr_1_41?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-41
"MamyPoko Pants Extra Absorb Baby Diaper, Large (Pack of 64)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07KFFN72W/ref=sr_1_42?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-42
"MamyPoko Pants Extra Absorb Baby Diaper Box, Medium (7 - 12 kg), 152 Count",https://www.amazon.in/MamyPoko-Pants-Absorb-Diaper-Medium/dp/B07XHJH119/ref=sr_1_43?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-43
Mamypoko XXL -22 Pack of -2 - XXL (44 Pieces),https://www.amazon.in/Mamypoko-XXL-22-Pack-2/dp/B0948R84YB/ref=sr_1_44?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-44
